timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1783499626537,3645,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-13,,true,,375877,46876,14,14,null,0,64,314
1783499629045,1383,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-10,,true,,11204,36517,14,14,null,0,5,25
1783499629531,4331,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-14,,true,,376018,46971,15,15,null,0,82,330
1783499632528,3542,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-15,,true,,375972,46953,16,16,null,0,33,285
1783499635530,3005,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-16,,true,,376011,46962,17,17,null,0,76,329
1783499627374,11456,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-12,,true,,270546,43280,17,17,null,0,17,78
1783499603724,6048,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT_Plan C 1-2,,true,,38961,48563,17,17,null,0,30008,0
1783499633944,6394,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-14,,true,,270423,43302,16,16,null,0,15,17
1783499638848,1852,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-12,,true,,11185,36459,16,16,null,0,4,99
1783499630246,10719,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-13,,true,,270490,43302,16,16,null,0,18,15
1783499636104,5565,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-15,,true,,270346,43304,17,17,null,0,16,20
1783499640355,1344,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-14,,true,,11180,36525,17,17,null,0,5,8
1783499638537,3621,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-17,,true,,375922,46914,17,17,null,0,91,331
1783499640984,1529,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-13,,true,,11178,36531,17,17,null,0,4,14
1783499641685,1326,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-15,,true,,11181,36527,17,17,null,0,5,8
1783499606552,6480,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT_Plan C 1-1,,true,,38967,48493,17,17,null,0,30008,0
1783499607951,5498,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT_Plan C 1-3,,true,,38967,48559,16,16,null,0,30009,0
1783499641527,2880,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-18,,true,,375943,46979,15,15,null,0,19,329
1783499638612,10001,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-16,,true,,270333,43349,17,17,null,0,15,19
1783499644529,4196,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-19,,true,,376000,46959,17,17,null,0,103,313
1783499644426,5576,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-18,,true,,270303,43308,17,17,null,0,29,27
1783499648629,1402,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-16,,true,,11186,36581,17,17,null,0,4,8
1783499650031,948,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-18,,true,,11182,36533,17,17,null,0,7,13
1783499647527,3368,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-20,,true,,375950,46996,17,17,null,0,93,324
1783499642249,10431,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-17,,true,,270325,43308,17,17,null,0,20,13
1783499617091,5786,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT_Plan C 1-4,,true,,38955,48511,17,17,null,0,30007,0
1783499652700,996,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-17,,true,,11193,36519,16,16,null,0,4,12
1783499620219,5351,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT_Plan C 1-5,,true,,39080,48555,16,16,null,0,30007,0
1783499619952,5698,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT_Plan C 1-7,,true,,39088,48559,15,15,null,0,30006,0
1783499621991,4281,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT_Plan C 1-6,,true,,39096,48565,14,14,null,0,30007,0
1783499622918,4656,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT_Plan C 1-8,,true,,39077,48501,13,13,null,0,30004,0
1783499648829,9085,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-19,,true,,270410,43294,12,12,null,0,16,15
1783499650989,8552,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-20,,true,,270092,43335,12,12,null,0,18,17
1783499657930,1727,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-19,,true,,11203,36539,12,12,null,0,5,8
