timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781195818165,1901,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-12,,true,,7841,36539,16,16,null,0,5,14
1781195817908,2564,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-11,,true,,7858,36543,16,16,null,0,5,11
1781195820020,1752,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-9,,true,,7868,36483,16,16,null,0,5,116
1781195804784,18038,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-10,,true,,270481,42692,17,17,null,0,19,14
1781195819667,3465,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-16,,true,,371991,45129,17,17,null,0,94,318
1781195817081,7325,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-14,,true,,270554,42712,17,17,null,0,15,17
1781195822842,1842,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-10,,true,,7877,36471,17,17,null,0,6,8
1781195824422,1708,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-14,,true,,7855,36539,18,18,null,0,4,8
1781195822674,3453,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-17,,true,,372098,45150,18,18,null,0,43,301
1781195790950,5726,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-2,,true,,39864,44940,18,18,null,0,30009,19
1781195793517,4700,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-1,,true,,39857,45002,17,17,null,0,30013,9
1781195814322,14774,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-13,,true,,270515,42716,17,17,null,0,20,16
1781195825667,3888,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-18,,true,,372019,45164,17,17,null,0,31,326
1781195795492,5456,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-3,,true,,39854,45002,17,17,null,0,30010,11
1781195829117,1960,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-13,,true,,7865,36539,16,16,null,0,1,8
1781195828670,3178,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-19,,true,,372053,45194,17,17,null,0,71,325
1781195826171,7654,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-17,,true,,270527,42699,17,17,null,0,17,14
1781195820069,14159,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-15,,true,,270518,42721,17,17,null,0,17,16
1781195831667,3343,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-20,,true,,372120,45119,17,17,null,0,49,319
1781195798784,6618,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-4,,true,,39868,45004,17,17,null,0,30010,9
1781195833842,1719,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-17,,true,,7849,36545,16,16,null,0,3,8
1781195834244,1866,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-15,,true,,7862,36549,16,16,null,0,5,9
1781195823226,16183,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-16,,true,,270511,42719,16,16,null,0,23,17
1781195804353,5173,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-5,,true,,39866,44942,16,16,null,0,30011,9
1781195839433,1800,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-16,,true,,7864,36557,15,15,null,0,3,8
1781195835060,6873,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-20,,true,,270482,42718,15,15,null,0,20,14
1781195841954,1301,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-20,,true,,7858,36545,15,15,null,0,5,8
1781195808970,4701,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-6,,true,,39859,44954,15,15,null,0,30007,7
1781195829586,14280,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-18,,true,,270521,42725,14,14,null,0,17,15
1781195843884,1275,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-18,,true,,7850,36539,14,14,null,0,3,9
1781195831918,13319,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-19,,true,,270450,42673,14,14,null,0,23,16
1781195845262,1282,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-19,,true,,7835,36479,14,14,null,0,4,8
1781195819622,4673,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT Legacy 1-7,,true,,39860,45012,14,14,null,0,30008,8
